array_size,thread_count,cutoff,time_taken
1048576,8,16384,597
1048576,8,32768,251
1048576,8,65536,70
1048576,8,131072,87
1048576,8,262144,73
1048576,8,524288,91
1048576,8,1048576,184
2097152,8,16384,198
2097152,8,32768,193
2097152,8,65536,184
2097152,8,131072,164
2097152,8,262144,185
2097152,8,524288,158
2097152,8,1048576,328
2097152,8,2097152,402
4194304,8,16384,370
4194304,8,32768,330
4194304,8,65536,300
4194304,8,131072,335
4194304,8,262144,378
4194304,8,524288,294
4194304,8,1048576,328
4194304,8,2097152,465
4194304,8,4194304,996
8388608,8,16384,822
8388608,8,32768,679
8388608,8,65536,972
8388608,8,131072,582
8388608,8,262144,620
8388608,8,524288,666
8388608,8,1048576,523
8388608,8,2097152,586
8388608,8,4194304,839
8388608,8,8388608,2736
16777216,8,16384,1556
16777216,8,32768,1258
16777216,8,65536,1184
16777216,8,131072,1567
16777216,8,262144,1210
16777216,8,524288,1487
16777216,8,1048576,1179
16777216,8,2097152,1135
16777216,8,4194304,1017
16777216,8,8388608,1473
16777216,8,16777216,4545
