array_size,thread_count,cutoff,time_taken
1048576,2,16384,214
1048576,2,32768,157
1048576,2,65536,49
1048576,2,131072,47
1048576,2,262144,46
1048576,2,524288,46
1048576,2,1048576,75
2097152,2,16384,129
2097152,2,32768,161
2097152,2,65536,160
2097152,2,131072,111
2097152,2,262144,112
2097152,2,524288,107
2097152,2,1048576,98
2097152,2,2097152,145
4194304,2,16384,280
4194304,2,32768,296
4194304,2,65536,242
4194304,2,131072,261
4194304,2,262144,332
4194304,2,524288,238
4194304,2,1048576,219
4194304,2,2097152,186
4194304,2,4194304,287
8388608,2,16384,578
8388608,2,32768,558
8388608,2,65536,584
8388608,2,131072,543
8388608,2,262144,608
8388608,2,524288,519
8388608,2,1048576,485
8388608,2,2097152,455
8388608,2,4194304,371
8388608,2,8388608,567
16777216,2,16384,1298
16777216,2,32768,1328
16777216,2,65536,1252
16777216,2,131072,1178
16777216,2,262144,1167
16777216,2,524288,1304
16777216,2,1048576,1077
16777216,2,2097152,997
16777216,2,4194304,844
16777216,2,8388608,781
16777216,2,16777216,1175
