array_size,thread_count,cutoff,time_taken
1048576,8,16384,298
1048576,8,32768,93
1048576,8,65536,25
1048576,8,131072,38
1048576,8,262144,34
1048576,8,524288,41
1048576,8,1048576,67
2097152,8,16384,93
2097152,8,32768,93
2097152,8,65536,91
2097152,8,131072,66
2097152,8,262144,67
2097152,8,524288,89
2097152,8,1048576,84
2097152,8,2097152,132
4194304,8,16384,135
4194304,8,32768,149
4194304,8,65536,125
4194304,8,131072,144
4194304,8,262144,169
4194304,8,524288,126
4194304,8,1048576,136
4194304,8,2097152,165
4194304,8,4194304,312
8388608,8,16384,348
8388608,8,32768,287
8388608,8,65536,305
8388608,8,131072,284
8388608,8,262144,272
8388608,8,524288,259
8388608,8,1048576,239
8388608,8,2097152,272
8388608,8,4194304,355
8388608,8,8388608,521
16777216,8,16384,672
16777216,8,32768,913
16777216,8,65536,810
16777216,8,131072,603
16777216,8,262144,624
16777216,8,524288,607
16777216,8,1048576,519
16777216,8,2097152,461
16777216,8,4194304,636
16777216,8,8388608,692
16777216,8,16777216,1088
